Square_Feet,Bedrooms,Bathrooms,Age_Years,Distance_City_KM,Garage_Spaces,Price
1712,1,3,15,15,1,152130
1639,5,1,37,28,0,7855
1567,2,2,32,39,0,41913
2428,5,4,14,29,2,130251
2107,4,3,17,10,1,157468
1637,1,4,6,23,2,148981
2966,1,4,34,8,3,158628
3201,5,3,36,13,0,149056
2666,3,1,14,7,3,166734
4514,3,2,23,23,1,264541
2987,1,2,34,47,1,42767
4586,4,3,40,45,1,234033
3456,1,2,2,21,3,183893
1342,2,3,13,42,3,66956
4558,2,3,8,16,2,320812
4309,5,4,23,15,1,299234
4842,1,1,7,10,1,289292
4258,5,1,24,25,3,253252
2859,5,1,43,47,0,110303
2985,3,1,18,28,1,139720
826,3,2,32,7,2,109048
4958,5,2,9,24,1,301597
804,5,3,31,2,0,97776
3319,2,1,15,37,0,73176
4781,1,2,8,43,3,237113
2152,3,4,13,35,1,168047
3353,4,3,28,34,3,152510
2830,2,1,21,2,1,188628
2604,1,1,45,41,0,8207
1352,1,3,4,33,1,49100
4776,2,2,46,37,3,180650
4674,4,2,6,7,3,310138
4269,4,4,46,4,0,217394
4098,3,1,15,13,1,239192
4475,2,4,11,18,3,269492
1417,4,1,3,42,0,1074
2736,2,4,31,31,1,136365
1280,2,4,0,25,2,123638
3136,4,4,9,13,2,220334
1279,5,1,47,21,0,-3478
4705,5,2,3,33,0,220606
1361,5,1,43,16,3,53763
2816,5,1,39,6,3,220963
3391,3,2,42,46,2,96835
2975,4,2,42,42,2,122679
3390,1,1,29,40,0,45102
2546,5,3,8,23,0,150318
3827,3,2,28,35,2,203523
864,5,3,42,7,1,76864
1745,1,2,17,19,1,126308
3608,2,3,32,32,2,126058
1556,4,3,2,1,2,145946
2945,2,4,35,46,3,153769
879,1,1,44,10,0,3343
2013,4,2,2,20,2,103879
3731,2,2,42,7,2,223935
4129,5,2,15,11,1,263490
1003,2,3,50,27,1,6120
2104,1,4,2,31,1,97358
4570,3,3,50,15,1,186601
2382,4,3,17,5,2,193125
4973,4,3,1,8,2,310055
2974,1,1,38,28,2,145191
3369,4,1,24,37,1,118836
1163,4,1,33,35,1,17889
4333,1,3,39,21,0,234989
3260,5,3,42,27,2,184743
3222,5,2,12,27,3,243877
2225,5,3,25,36,0,99079
3150,2,4,50,38,2,142446
4419,4,2,32,31,1,243306
1494,3,3,5,49,1,94884
3342,2,2,9,2,0,186192
4692,5,1,29,27,1,270755
3945,4,4,15,10,0,310680
1673,4,2,11,45,3,39232
2841,1,4,8,30,2,213042
4425,5,4,35,29,1,295722
4688,4,3,48,16,2,277727
4769,2,3,28,5,2,266185
3025,3,3,34,6,1,160019
2694,4,2,45,14,0,136077
4139,3,4,26,4,1,278019
3990,5,1,48,37,3,185018
848,3,3,48,25,3,69945
2606,4,2,17,28,3,111104
3985,3,4,46,11,3,217978
1020,4,1,5,42,3,14786
4582,2,1,16,25,2,195842
4524,3,3,48,25,2,271767
4253,3,1,30,2,0,219520
2636,1,1,48,2,1,90930
966,5,2,15,9,3,163047
1737,5,2,29,45,2,66201
2174,5,1,49,11,2,86868
1010,3,4,25,46,1,-6539
2789,1,3,43,39,0,97627
1136,3,4,42,24,0,73117
3595,1,4,31,7,3,232222
4566,2,4,11,47,2,254028
